,ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Year,Gender,Value,arg,cpi,edu,employ,exchange,gdp,green,income,pop,tax,LifeLadder,LogGDPPerCapita,SocialSupport,Expectancy,Freedom,Generosity,Corruption,PositiveAffect,NegativeAffect,Africa,Americas,Eastern Mediterranean,Europe,South-East Asia,Western Pacific,YearInd,cbrt_cpi,cbrt_exchange,cbrt_gdp,cbrt_green,cbrt_income,cbrt_pop
23,AFR,Africa,ZMB,Zambia,2018,Both sexes,14.7,32.06392338,194.5104383,0.5088011824990611,0.07222060110884154,10.45833333,1516.3711,40670.0,1173.273598,0.012451539857200508,0.3584627320210082,0.2596974398758728,0.3057884231536925,0.5135623869801086,0.3204804045512011,0.7151248164464021,0.048,0.8109999999999999,0.5391969407265772,0.5081967213114754,1.0,0.0,0.0,0.0,0.0,0.0,19,5.7940330856290005,2.1868592225160373,11.488636790775482,34.3894099364986,0.1302161029987942,258.8893153165674
24,WPR,Western Pacific,NZL,New Zealand,2018,Both sexes,14.8,39.75162356,112.4201196,0.6661999624042385,0.6332068864896412,1.4452583330000002,43306.07,81330.0,35146.77014,0.003511396928579012,0.44982060504316335,0.9053529868114817,0.8033932135728541,0.9403254972875229,0.8862199747155501,0.947136563876652,0.12,0.207,0.8107074569789673,0.1331967213114754,0.0,0.0,0.0,0.0,0.0,1.0,19,4.826304079483261,1.1306160874109745,35.11690703143727,43.32616580992332,0.7217513532829222,169.85685759124416
25,WPR,Western Pacific,BRN,Brunei Darussalam,2018,Both sexes,15.5,2.7324478180000003,99.4150543,0.5229448001948587,0.514735920630289,1.348918565,31628.476260000003,16620.0,23891.50254,0.0003006721110774593,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,0.0,0.0,0.0,0.0,1.0,19,4.632520871579665,1.1049142566365693,31.624676373656087,25.51978472252175,0.6164148714414952,75.41752319706607
26,AFR,Africa,BFA,Burkina Faso,2018,Both sexes,16.0,44.225146200000005,111.97976470000002,0.1655996639329313,0.2678727750218851,555.4464584,813.0996894,30850.0,672.842517,0.014174608642310441,0.5197239155027904,0.4315360744763381,0.2055888223552893,0.4177215189873419,0.27623261694058177,0.6123348017621144,-0.013000000000000001,0.757,0.554493307839388,0.49180327868852447,1.0,0.0,0.0,0.0,0.0,0.0,19,4.8199942135339136,8.220168765762457,9.333573068360279,31.363057151982495,0.08268910599902837,270.3126966998246
27,AFR,Africa,COG,Congo,2018,Both sexes,16.1,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,1.0,0.0,0.0,0.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
28,WPR,Western Pacific,AUS,Australia,2018,Both sexes,16.2,46.65809501,117.8980229,0.7889921162675713,0.550481470674059,1.338412146,57354.96405,615380.0,44300.56228,0.017930728164736242,0.23883869722377168,0.8679208688906129,0.8335329341317366,0.9150090415913202,0.8988621997471555,0.8986784140969162,0.146,0.405,0.6462715105162523,0.17213114754098355,0.0,0.0,0.0,0.0,0.0,1.0,19,4.90345477450233,1.102038134808556,38.564733745064565,85.05786141088127,0.7917303192015267,292.33426410906736
29,AMR,Americas,BRA,Brazil,2018,Both sexes,16.5,28.34109036,161.3738142,0.6009936802222607,0.439743215640502,3.6538253610000004,9151.445253,1032640.0,7850.803551000001,0.150395731577282,0.3010350734477876,0.6766873545384019,0.589620758483034,0.8101265822784812,0.6713021491782558,0.6563876651982377,-0.11699999999999999,0.763,0.6290630975143402,0.5061475409836064,0.0,1.0,0.0,0.0,0.0,0.0,19,5.444328912225926,1.5402194212846885,20.916863485845713,101.07637265044829,0.37865863343734785,593.8910871369768
30,WPR,Western Pacific,SGP,Singapore,2018,Both sexes,16.5,0.930888575,113.76273,0.6066490478830395,0.5930843303180625,1.3488416669999999,66679.04649,66640.0,49451.0366,0.004041349905652809,0.16560809545734465,0.7123739332816136,0.969061876247505,0.848101265822785,1.0,0.8986784140969162,-0.066,0.09699999999999999,0.6998087954110898,0.008196721311475363,0.0,0.0,0.0,0.0,0.0,1.0,19,4.845441282715785,1.104893260234139,40.55052303468505,40.542606181035026,0.8269228493718498,177.98867916049383
31,EMR,Eastern Mediterranean,SAU,Saudi Arabia,2018,Both sexes,16.6,80.76932023,120.93132109999999,0.6353730157676106,0.4092500729501022,3.75,23337.01755,638120.0,18968.18233,0.02419190794410711,0.2975859618510518,0.7086889061287819,0.8255489021956086,0.7848101265822786,0.668141592920354,0.8091042584434653,-0.192,0.7271580756013746,0.6558317399617589,0.37909836065573765,0.0,0.0,1.0,0.0,0.0,0.0,19,4.945151475936795,1.5536162529769295,28.576900165960023,86.09292281674675,0.5596205451939255,323.014345006652
32,AMR,Americas,CAN,Canada,2018,Both sexes,17.5,6.491374242999999,114.52489979999999,0.6627105484627859,0.5423110592354831,1.295817928,46454.743389999996,724930.0,37739.01968,0.026606191864903147,0.46012659624152197,0.8675329712955778,0.8309381237524949,0.8842676311030743,0.8988621997471555,0.9427312775330394,0.106,0.37200000000000005,0.7705544933078393,0.3196721311475409,0.0,1.0,0.0,0.0,0.0,0.0,19,4.856238117503792,1.0902212967062153,35.948161860206646,89.8321976198538,0.7426938944326191,333.41773484957065
33,AFR,Africa,NAM,Namibia,2018,Both sexes,17.9,47.14013288,152.29919180000002,0.5088011824990611,0.33192296469215066,13.23394167,5587.985613,11930.0,4647.194167000001,0.0017505976536018094,0.36358357133671637,0.41349883630721485,0.5127744510978045,0.777576853526221,0.3584070796460179,0.6607929515418502,-0.16899999999999998,0.846,0.6080305927342257,0.28073770491803274,1.0,0.0,0.0,0.0,0.0,0.0,19,5.340302598496816,2.3653554090735285,17.74537139167664,22.849681344281827,0.2937693890696048,134.77878723575316
34,EMR,Eastern Mediterranean,ARE,United Arab Emirates,2018,Both sexes,18.2,5.375246409,116.7797727,0.5088011824990611,0.7990954187335865,3.6725,43839.32449,263240.0,40019.94277,0.006907892065053672,0.000979074540194982,0.7567882079131109,0.8936127744510978,0.7540687160940326,0.6934260429835652,0.9397944199706314,0.054000000000000006,0.7271580756013746,0.6998087954110898,0.40778688524590156,0.0,0.0,1.0,0.0,0.0,0.0,19,4.887902584516783,1.5428389752253553,35.26045817215709,64.08906869407573,0.7603417629299163,212.75998444352643
35,EUR,Europe,NOR,Norway,2018,Both sexes,18.4,2.701385358,117.71785359999998,0.6852359809604003,0.5434782608695653,8.1325,82267.80932,47340.0,65957.40892,0.0038067298464873113,0.5574348079938578,0.9197051978277734,0.8824351297405186,0.9620253164556963,0.8862199747155501,0.9632892804698971,0.094,0.268,0.7762906309751433,0.22336065573770483,0.0,0.0,0.0,1.0,0.0,0.0,19,4.90095571528903,2.01098126225549,43.49205990982938,36.175073140079654,0.9254368532563335,174.4819071396498
